"019",0,46,17,4,1,1,"24","..",46,4,4,2,"20","12",3,3,3,3,4,4,1,"08","02","00","001","011",1,1,2,"19","12","..","..","..","..",3,1,".",".",".",".",2,1,".",".",".",".",2,2,2,0,0,1,1,0,".",".",".",".",".",".",".",".",".",".",".",50,45,46,"..","..","..","..","..","..","..","..","..","..","..",".",".",1,".",".",".",".",".",".",".",".",".",".",".",3,3,3,".",".",".",".",".",".",".",".",".",".",".",4,4,2,".",".",".",".",".",".",".",".",".",".",".",5,5,5,".",".",".",".",".",".",".",".",".",".",".",4,4,5,".",".",".",".",".",".",".",".",".",".",".",5,5,1,".",".",".",".",".",".",".",".",".",".",".",1,1,1,".",".",".",".",".",".",".",".",".",".",".",1,1,3,".",".",".",".",".",".",".",".",".",".",".",0,0,0,5,4,0,3,5,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,".",2,2,2,1,2,3,3,33,27,24,22,25,23,25,19,15,36,25,26,21,37,23,28,27,25,25,29,"515"
"021",0,34,17,3,1,1,"32","..",34,4,2,1,"12","12",1,2,2,2,2,4,0,"30","01","00","001","032",1,1,".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,".",".",33,33,26,33,34,34,69,"70","37",34,35,31,"..","..",1,1,1,4,1,1,1,4,1,2,1,2,".",".",4,4,4,4,4,4,".",1,4,4,3,4,".",".",4,4,4,2,2,2,1,1,1,3,3,3,".",".",5,5,5,5,5,4,3,3,5,5,5,5,".",".",5,4,4,4,4,4,4,4,5,0,1,1,".",".",5,5,5,3,3,1,3,3,3,2,2,2,".",".",1,2,1,1,1,2,1,1,1,2,2,2,".",".",3,3,1,3,3,3,3,3,1,4,2,2,".",".",0,0,0,2,0,1,2,8,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,3,3,2,1,2,1,2,3,1,20,22,18,20,28,22,24,21,10,27,30,18,14,28,23,25,23,24,28,26,"451"
"022",1,31,20,3,1,1,"32","..",31,4,2,1,"04","04",1,3,2,2,2,1,0,"30","05","00","000","035",1,1,".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,3,3,0,1,1,1,1,1,1,0,0,0,0,0,1,".",".",27,34,54,31,31,32,69,"37","41",34,35,31,"..","..",1,1,3,1,1,1,2,1,1,2,1,2,".",".",4,4,4,3,3,3,2,2,2,4,3,4,".",".",4,4,4,2,2,2,1,1,1,3,3,3,".",".",5,5,5,5,5,5,1,2,2,5,5,5,".",".",4,5,4,4,4,4,4,2,5,0,1,1,".",".",5,5,5,2,2,2,4,2,1,2,2,2,".",".",2,1,2,1,1,1,1,1,1,2,2,2,".",".",1,1,3,3,1,3,4,3,3,4,2,2,".",".",0,0,0,1,3,0,2,8,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,".",2,1,2,2,2,3,1,27,23,17,18,29,14,21,25,6,16,20,13,14,29,25,23,18,18,25,18,"399"
"023",0,20,12,4,1,1,"35","..",20,".",4,3,"15","17",2,1,1,4,4,3,1,"01","02","01","0002","006",1,1,".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",2,2,3,2,1,0,0,0,0,0,0,1,1,1,1,".",".",".",".",20,19,19,20,23,50,59,"45","60",50,"..","..","..","..",1,1,2,1,5,1,5,2,1,1,".",".",".",".",".",".",".",".",1,3,4,2,1,2,".",".",".",".",5,4,4,2,2,1,1,1,3,3,".",".",".",".",3,3,3,3,2,4,5,2,1,3,".",".",".",".",3,3,3,4,4,3,3,5,0,0,".",".",".",".",5,5,5,4,4,1,1,1,3,1,".",".",".",".",1,2,2,1,1,2,2,1,2,2,".",".",".",".",4,4,1,3,3,3,4,3,3,3,".",".",".",".",0,0,1,3,3,0,2,5,2,2,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,".",".",2,1,1,1,2,".",".",26,31,16,18,28,16,23,23,9,30,33,18,17,26,24,28,16,31,22,23,"458"
"024",0,27,12,4,1,1,"28","..",27,2,2,2,"08","12",2,0,3,3,1,4,0,"02","00","00","000","002",1,2,1,"05","..","..","..","..","..",0,".",".",".",".",".",1,".",".",".",".",".",1,0,3,2,2,0,0,0,1,1,0,1,0,".",".",".",".",".",".",26,23,40,22,40,44,50,"24","..","..","..","..","..","..",5,1,2,2,2,2,2,1,".",".",".",".",".",".",2,2,3,".",1,1,2,".",".",".",".",".",".",".",2,2,4,1,1,1,3,3,".",".",".",".",".",".",4,3,5,3,2,1,2,4,".",".",".",".",".",".",4,2,2,4,4,4,0,0,".",".",".",".",".",".",5,5,5,6,5,5,4,5,".",".",".",".",".",".",1,1,2,1,1,1,2,2,".",".",".",".",".",".",4,4,1,".",3,3,3,3,".",".",".",".",".",".",0,0,0,3,2,0,3,1,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,2,".",2,1,2,1,2,".",".",24,21,14,15,14,14,16,16,14,19,17,22,9,31,20,21,20,19,16,25,"367"
"025",0,62,17,4,4,1,"23","39",23,4,4,1,"17","10",2,4,3,1,4,4,4,"02","00","00","001","008",1,4,1,"35","..","..","..","..","..",5,".",".",".",".",".",1,".",".",".",".",".",0,5,4,4,1,0,0,0,0,1,1,1,1,0,1,1,1,".",".",70,57,65,61,55,36,88,"68","70",62,59,57,"..","..",1,".",5,4,4,1,4,1,1,4,3,4,".",".",4,4,4,4,3,4,1,1,4,1,3,1,".",".",2,2,5,2,2,1,1,1,1,3,3,3,".",".",5,5,5,5,3,5,2,2,5,2,3,2,".",".",2,3,0,3,2,0,5,4,4,0,0,0,".",".",2,3,3,1,3,3,5,2,2,3,6,4,".",".",1,2,1,1,2,1,1,1,1,1,1,1,".",".",2,3,2,3,4,3,4,2,2,3,3,3,".",".",0,0,0,12,5,1,3,7,2,2,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,".",2,1,2,1,2,3,3,27,20,18,19,28,18,18,22,16,23,24,26,10,31,19,21,21,22,25,22,"430"
"026",1,61,15,4,4,1,"23","38",23,3,4,1,"15","08",1,4,3,1,4,2,4,"00","00","00","000","000",1,4,1,"35","..","..","..","..","..",5,".",".",".",".",".",1,".",".",".",".",".",0,5,4,5,2,1,1,1,1,1,0,1,1,0,1,0,0,".",".",57,55,62,60,57,36,88,"68","70",58,60,65,"..","..",2,4,4,4,4,1,4,1,1,4,4,5,".",".",2,2,1,1,1,4,1,1,4,3,4,4,".",".",2,2,5,2,5,1,1,1,1,3,3,3,".",".",3,3,2,3,2,5,5,2,2,5,4,5,".",".",3,2,0,2,0,0,5,4,4,0,0,0,".",".",4,4,4,4,4,6,5,3,4,4,0,3,".",".",1,1,1,1,1,1,1,1,1,1,1,1,".",".",3,4,3,3,3,3,4,2,2,3,3,2,".",".",0,2,0,11,2,0,3,7,2,2,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,".",2,1,2,1,2,3,3,18,17,14,14,23,16,14,17,10,15,8,14,9,19,9,15,4,8,17,13,"274"
"027",0,35,17,2,1,1,"20","..",35,3,3,1,"17","04",2,4,3,1,3,3,0,"07","03","00","003","013",2,,".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",4,3,0,2,3,0,0,1,0,0,0,0,1,1,1,1,1,".",".",62,45,26,45,36,36,41,"42","48",74,87,83,"..","..",4,2,1,4,4,4,1,1,1,1,1,5,".",".",1,2,2,3,4,4,1,1,3,1,1,1,".",".",4,4,4,4,2,2,2,5,5,5,3,3,".",".",1,3,5,4,5,5,5,3,5,0,1,1,".",".",4,4,4,5,2,3,3,1,1,1,2,1,".",".",4,4,5,4,3,2,3,6,3,3,1,1,".",".",2,1,2,2,1,1,1,2,2,1,2,2,".",".",1,1,1,1,2,1,4,3,3,3,4,4,".",".",1,0,0,4,1,0,3,8,2,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,3,5,2,1,1,1,2,".",".",35,24,14,19,20,16,18,16,4,22,21,21,11,29,19,27,22,19,19,15,"391"
"028",0,21,1,4,1,1,"28","..",21,1,1,1,"06","06",2,0,2,2,4,3,0,"00","00","00","000","000",1,1,0,"..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",4,3,3,0,0,0,0,0,0,0,0,0,1,1,".",".",".",".",".",59,53,24,37,20,18,18,"20","58","..","..","..","..","..",3,1,2,2,4,4,1,1,3,".",".",".",".",".",1,1,1,1,1,1,1,1,1,".",".",".",".",".",1,4,4,4,2,2,2,1,1,".",".",".",".",".",1,1,2,2,2,1,2,2,1,".",".",".",".",".",2,5,5,5,5,5,3,2,2,".",".",".",".",".",6,5,5,5,0,0,3,6,6,".",".",".",".",".",1,1,1,2,1,2,1,1,1,".",".",".",".",".",1,1,4,1,4,4,3,1,3,".",".",".",".",".",1,0,2,0,6,0,2,6,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,3,1,1,".",".",".",".",".",".",27,20,12,13,25,13,18,20,11,21,17,18,10,21,16,22,9,16,19,17,"345"
"029",1,20,10,4,1,1,"04","..",20,2,1,1,"04","04",2,0,0,1,0,0,0,"00","00","00","000","000",1,1,".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,3,1,0,1,1,1,1,1,0,1,1,1,1,".",".",".",".",27,"..","..",21,19,20,26,"28","04",47,"..","..","..","..",1,".",".",1,1,4,1,1,1,1,".",".",".",".",".",".",".",1,2,1,3,2,".",1,".",".",".",".",4,4,4,2,2,2,1,1,1,3,".",".",".",".",".",".",".",2,1,2,4,2,0,1,".",".",".",".",".",".",".",3,3,5,2,4,4,3,".",".",".",".",".",".",".",5,5,1,6,3,3,5,".",".",".",".",".",".",".",1,1,2,1,1,1,1,".",".",".",".",".",".",".",4,4,4,4,1,4,1,".",".",".",".",0,0,0,0,8,0,2,8,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,".",2,1,2,2,2,".",".",21,17,11,12,24,13,15,16,5,13,15,10,8,20,16,18,11,13,21,18,"297"
"030",0,40,12,3,1,1,"19","..",40,1,1,1,"12","06",1,4,3,0,3,4,0,"07","00","04","000","101",1,5,0,"..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,2,0,0,0,0,1,0,1,1,1,1,".",".",".",".",".",".",27,52,30,40,30,36,29,"63","..","..","..","..","..","..",3,1,3,1,1,4,1,1,".",".",".",".",".",".",1,1,1,2,2,4,3,1,".",".",".",".",".",".",4,4,4,2,2,2,1,1,".",".",".",".",".",".",3,2,3,3,5,5,4,1,".",".",".",".",".",".",5,4,5,4,4,4,3,3,".",".",".",".",".",".",3,5,4,3,3,1,4,4,".",".",".",".",".",".",2,2,2,1,1,2,1,1,".",".",".",".",".",".",4,1,4,2,2,2,2,2,".",".",".",".",".",".",0,0,0,2,3,0,3,1,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,3,1,1,".",".",".",".",2,3,25,21,17,11,23,14,7,15,11,4,4,19,15,14,17,14,10,19,18,25,"303"
"031",0,25,16,3,1,1,"30","..",25,2,2,1,"04","04",2,2,0,3,4,3,3,"05","05","00","160","180",2,,".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",2,3,3,0,1,1,1,0,1,1,1,0,1,1,".",".",".",".",".",19,32,19,25,25,25,69,"68","39","..","..","..","..","..",4,4,4,1,1,1,2,1,1,".",".",".",".",".",2,2,2,3,2,3,2,1,2,".",".",".",".",".",5,4,4,2,2,2,1,1,1,".",".",".",".",".",3,2,3,5,5,5,1,1,3,".",".",".",".",".",5,5,5,3,4,4,4,4,4,".",".",".",".",".",5,5,5,4,4,2,4,4,4,".",".",".",".",".",2,1,2,1,1,1,1,1,1,".",".",".",".",".",1,1,4,3,3,1,2,2,3,".",".",".",".",".",0,0,0,5,4,0,3,8,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,2,".",1,".",".",".",".",".",".",33,23,17,19,31,19,21,27,13,26,20,23,9,30,14,28,25,24,22,24,"448"
"032",1,27,12,4,1,1,"05","..",27,2,2,1,"08","04",2,1,0,3,4,4,4,"00","00","00","000","000",1,1,".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,4,3,1,0,1,1,1,1,1,1,1,0,1,1,1,".",".",".",24,23,31,26,26,27,26,"61","60",31,40,".","..","..",2,2,1,1,1,1,1,1,2,1,1,".",".",".",2,2,2,2,3,2,2,2,1,2,2,".",".",".",4,4,4,2,2,2,2,1,1,1,3,".",".",".",3,3,3,5,4,3,3,2,1,4,3,".",".",".",5,4,5,3,3,3,4,3,3,5,0,".",".",".",5,5,5,3,3,3,3,5,5,3,3,".",".",".",2,2,1,1,1,1,1,1,1,1,2,".",".",".",1,1,1,2,4,2,4,2,2,2,2,".",".",".",1,0,0,2,2,0,2,3,3,3,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,3,3,1,".",".",".",".",1,3,25,20,14,16,24,11,18,18,6,13,18,14,8,20,16,18,9,14,22,21,"325"
"033",0,26,12,4,1,1,"05","..",26,3,3,1,"15","12",2,3,3,4,4,4,0,"14","02","20","160","196",1,1,".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,0,4,1,0,0,0,0,0,1,0,0,1,".",".",".",".",".",".",30,30,36,53,50,19,23,"40","..","..","..","..","..","..",1,1,2,3,3,1,1,1,".",".",".",".",".",".",2,3,3,3,1,".",".",2,".",".",".",".",".",".",4,4,4,1,1,1,1,3,".",".",".",".",".",".",5,4,5,4,4,2,4,3,".",".",".",".",".",".",4,2,4,2,2,2,2,0,".",".",".",".",".",".",5,5,5,5,5,5,5,3,".",".",".",".",".",".",2,2,2,1,1,1,2,2,".",".",".",".",".",".",1,3,1,2,2,4,3,2,".",".",".",".",".",".",0,0,0,0,2,0,2,8,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,2,".",1,".",".",".",".",1,3,32,18,7,11,22,18,16,19,6,15,20,15,12,27,25,25,24,35,15,27,"389"
"034",0,50,12,4,3,1,"34","04",45,3,1,1,"12","08",1,0,4,4,4,4,3,"05","00","00","000","005",1,4,2,"21","15","..","..","..","..",2,1,".",".",".",".",1,1,".",".",".",".",3,1,3,3,0,1,0,0,0,0,0,0,0,0,0,".",".",".",".",37,25,31,51,27,46,51,"16","15",35,"..","..","..","..",1,2,1,1,1,3,1,1,1,1,".",".",".",".",3,3,1,3,1,1,4,1,1,1,".",".",".",".",3,4,4,4,2,1,1,1,3,3,".",".",".",".",1,3,3,3,4,3,3,4,2,2,".",".",".",".",1,3,4,3,4,4,4,4,1,1,".",".",".",".",6,5,5,5,3,4,3,3,6,6,".",".",".",".",2,2,2,2,2,1,1,1,2,2,".",".",".",".",3,1,4,1,3,3,3,3,4,4,".",".",".",".",0,0,0,0,4,0,2,6,2,2,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,2,".",1,".",".",".",".",3,3,33,21,17,13,23,16,20,21,13,22,24,21,15,27,26,21,14,18,18,23,"406"
"035",1,21,8,4,1,1,"34","..",21,".",3,3,"12","15",1,0,0,0,3,3,0,"00","24","00","000","024",2,,".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",0,2,2,3,0,1,1,0,1,0,0,0,".",".",".",".",".",".",".",18,19,27,70,16,15,15,"..","..","..","..","..","..","..",1,1,1,3,1,1,1,".",".",".",".",".",".",".",".",".",2,1,".",".",".",".",".",".",".",".",".",".",2,2,1,1,3,3,3,".",".",".",".",".",".",".",2,2,3,1,2,2,2,".",".",".",".",".",".",".",3,4,4,4,1,1,1,".",".",".",".",".",".",".",5,5,3,3,6,6,6,".",".",".",".",".",".",".",1,1,1,1,2,2,2,".",".",".",".",".",".",".",4,3,3,1,1,4,4,".",".",".",".",".",".",".",0,0,2,0,1,0,2,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,".",".",1,".",".",".",".",".",".",21,14,11,7,18,9,13,15,6,13,20,17,5,18,12,15,5,9,13,12,"253"
"036",1,27,17,4,1,1,"16","..",27,".",3,3,"17","15",2,3,0,4,3,4,0,"04","01","00","000","005",1,4,".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",0,2,2,0,1,1,1,1,1,0,".",".",".",".",".",".",".",".",".",29,27,45,54,62,"..","..","..","..","..","..","..","..","..",1,2,2,3,3,".",".",".",".",".",".",".",".",".",2,3,3,1,4,".",".",".",".",".",".",".",".",".",5,2,2,1,1,".",".",".",".",".",".",".",".",".",3,5,5,3,5,".",".",".",".",".",".",".",".",".",1,5,5,5,5,".",".",".",".",".",".",".",".",".",2,2,2,1,1,".",".",".",".",".",".",".",".",".",1,1,1,2,2,".",".",".",".",".",".",".",".",".",4,1,4,1,2,".",".",".",".",".",".",".",".",".",0,0,0,3,1,0,2,8,1,1,1,1,1,1,1,0,0,".",".",1,0,1,0,1,1,0,0,1,1,0,1,1,1,".",".",2,2,2,2,1,".",".",7,8,12,16,17,13,16,15,5,12,14,14,9,22,16,19,18,14,17,18,"282"
"037",0,24,2,3,1,1,"03","..",24,1,1,1,"06","06",1,0,2,0,4,3,2,"10","06","00","140","156",1,1,0,"..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,3,1,0,0,0,0,0,0,0,0,0,1,1,".",".",".",".",30,18,20,25,25,28,26,"28","25",80,"..","..","..","..",1,1,1,1,1,1,1,1,1,1,".",".",".",".",1,1,1,1,1,1,1,1,1,1,".",".",".",".",4,4,4,2,2,2,1,1,1,3,".",".",".",".",2,2,2,2,2,3,2,3,3,0,".",".",".",".",4,4,4,4,3,3,4,4,3,4,".",".",".",".",5,5,5,4,3,3,4,5,4,5,".",".",".",".",2,1,2,1,2,2,1,1,2,2,".",".",".",".",1,1,1,3,1,4,3,3,3,4,".",".",".",".",1,0,0,1,3,0,2,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,".",2,1,0,1,2,2,3,17,10,15,15,13,11,12,9,11,18,13,12,14,11,6,15,9,21,20,17,"269"
"038",0,36,17,4,1,1,"23","..",36,4,3,1,"15","12",2,4,3,3,4,3,4,"02","00","00","000","003",1,4,2,"05","03","..","..","..","..",0,0,".",".",".",".",1,1,".",".",".",".",1,2,3,2,1,1,0,0,0,0,1,1,1,0,".",".",".",".",".",26,36,52,70,42,68,61,"58","59","..","..","..","..","..",4,1,2,1,1,1,4,3,3,".",".",".",".",".",2,2,4,3,4,1,1,2,3,".",".",".",".",".",4,2,2,1,1,1,5,3,3,".",".",".",".",".",3,5,5,4,5,2,4,3,5,".",".",".",".",".",5,5,5,4,4,4,0,0,0,".",".",".",".",".",5,1,1,4,3,4,6,4,4,".",".",".",".",".",1,1,1,1,1,1,1,2,2,".",".",".",".",".",1,2,1,3,4,3,3,3,3,".",".",".",".",".",1,0,6,3,4,2,3,3,2,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,4,".",2,1,1,1,1,2,3,32,24,18,14,26,15,17,24,13,27,23,24,13,24,15,29,25,23,14,22,"422"
